INFO:OpenGL.acceleratesupport:No OpenGL_accelerate module loaded: No module named 'OpenGL_accelerate'
INFO:qasync:Using Qt Implementation: PyQt6
DEBUG:matplotlib:matplotlib data path: /opt/homebrew/lib/python3.11/site-packages/matplotlib/mpl-data
DEBUG:matplotlib:CONFIGDIR=/Users/isabelburgos/.matplotlib
DEBUG:matplotlib:interactive is False
DEBUG:matplotlib:platform is darwin
DEBUG:matplotlib:CACHEDIR=/Users/isabelburgos/.matplotlib
DEBUG:matplotlib.font_manager:Using fontManager instance from /Users/isabelburgos/.matplotlib/fontlist-v330.json
DEBUG:asyncio:Using selector: _Selector
INFO:new_socket_test:recieved data 239, length 16384
INFO:new_socket_test:recieved data 240, length 16384
INFO:new_socket_test:recieved data 241, length 16384
INFO:new_socket_test:recieved data 242, length 16384
INFO:new_socket_test:recieved data 243, length 16384
INFO:new_socket_test:recieved data 244, length 16384
INFO:new_socket_test:recieved data 245, length 16384
INFO:new_socket_test:recieved data 246, length 16384
INFO:new_socket_test:recieved data 247, length 16384
INFO:new_socket_test:recieved data 248, length 16384
INFO:new_socket_test:recieved data 249, length 16384
INFO:new_socket_test:recieved data 250, length 16384
INFO:new_socket_test:recieved data 251, length 16384
INFO:new_socket_test:recieved data 252, length 16384
INFO:new_socket_test:recieved data 253, length 16384
INFO:new_socket_test:recieved data 254, length 16384
INFO:new_socket_test:recieved data 255, length 16384
INFO:new_socket_test:recieved data 256, length 16384
INFO:new_socket_test:recieved data 257, length 16384
INFO:new_socket_test:recieved data 258, length 16384
INFO:new_socket_test:recieved data 259, length 16384
INFO:new_socket_test:recieved data 260, length 16384
INFO:new_socket_test:recieved data 261, length 16384
INFO:new_socket_test:recieved data 262, length 16384
INFO:new_socket_test:recieved data 263, length 16384
INFO:new_socket_test:recieved data 264, length 16384
INFO:new_socket_test:recieved data 265, length 16384
INFO:new_socket_test:recieved data 266, length 16384
INFO:new_socket_test:recieved data 267, length 16384
INFO:new_socket_test:recieved data 268, length 16384
INFO:new_socket_test:recieved data 269, length 16384
INFO:new_socket_test:recieved data 270, length 16384
INFO:new_socket_test:recieved data 271, length 16384
INFO:new_socket_test:recieved data 272, length 16384
INFO:new_socket_test:recieved data 273, length 16384
INFO:new_socket_test:recieved data 274, length 16384
INFO:new_socket_test:recieved data 275, length 16384
INFO:new_socket_test:recieved data 276, length 16384
INFO:new_socket_test:recieved data 277, length 16384
INFO:new_socket_test:recieved data 278, length 16384
INFO:new_socket_test:recieved data 279, length 16384
INFO:new_socket_test:recieved data 280, length 16384
INFO:new_socket_test:recieved data 281, length 16384
INFO:new_socket_test:recieved data 282, length 16384
INFO:new_socket_test:recieved data 283, length 16384
INFO:new_socket_test:recieved data 284, length 16384
INFO:new_socket_test:recieved data 285, length 16384
INFO:new_socket_test:recieved data 286, length 16384
INFO:new_socket_test:recieved data 287, length 16384
INFO:new_socket_test:recieved data 288, length 16384
INFO:new_socket_test:recieved data 289, length 16384
INFO:new_socket_test:recieved data 290, length 16384
INFO:new_socket_test:recieved data 291, length 16384
INFO:new_socket_test:recieved data 292, length 16384
INFO:new_socket_test:recieved data 293, length 16384
INFO:new_socket_test:recieved data 294, length 16384
INFO:new_socket_test:recieved data 295, length 16384
INFO:new_socket_test:recieved data 296, length 16384
INFO:new_socket_test:recieved data 297, length 16384
INFO:new_socket_test:recieved data 298, length 16384
INFO:new_socket_test:recieved data 299, length 16384
INFO:new_socket_test:recieved data 300, length 16384
INFO:new_socket_test:recieved data 301, length 16384
INFO:new_socket_test:recieved data 302, length 16384
INFO:new_socket_test:recieved data 303, length 16384
INFO:new_socket_test:recieved data 304, length 16384
INFO:new_socket_test:recieved data 305, length 16384
INFO:new_socket_test:recieved data 306, length 16384
INFO:new_socket_test:recieved data 307, length 16384
INFO:new_socket_test:recieved data 308, length 16384
INFO:new_socket_test:recieved data 309, length 16384
INFO:new_socket_test:recieved data 310, length 16384
INFO:new_socket_test:recieved data 311, length 16384
INFO:new_socket_test:recieved data 312, length 16384
INFO:new_socket_test:recieved data 313, length 16384
INFO:new_socket_test:recieved data 314, length 16384
INFO:new_socket_test:recieved data 315, length 16384
